"Submission ID","Respondent ID","Submitted at","ref_id","user_id","Please enter your telegram or email","email@email.com","How do you describe your trading style?","What is your ideal trading setup?","Where do you currently Trade?","Where do you currently Trade? (Ethereum)","Where do you currently Trade? (Solana)","Where do you currently Trade? (Base)","Where do you currently Trade? (BNB)","Where do you currently Trade? (Polygon)","Where do you currently Trade? (Other)","How do you currently Trade?","How do you currently Trade? (Mobile)","How do you currently Trade? (Desktop)","What is your favorite feature on other Trading Platforms that you would like to see in KiFi? (1)","What is one feature you wish a platform had but most don't? (1)","How would you describe your trading style?","What is your favorite feature on other Trading Platforms that you would like to see in KiFi? (2)","What is one feature you wish a platform had but most don't? (2)"
"MBAxR9","4qXPoc","2025-02-04 20:41:59","null","5","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:43:59","1","6","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:45:59","6","7","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:46:59","3","8","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:47:59","2","9","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:48:59","9","10","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:49:59","9","11","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:50:59","9","12","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:51:59","9","13","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:40:59","1","9","test",,"test",,,,,,,,,,,,,"Majors Only",,""
"MBAxR9","4qXPoc","2025-02-04 20:41:59","2","10","test",,"test",,,,,,,,,,,,,"Majors Only",,""
